id;knife_style;knife_size;metal_type;bevel_sides;current_sharpness_level;desired_outcome;starting_stone;middle_stone;finish_stone
1;FILET_KNIFE;ONE_HUNDERD_TWENTY;ALLOY_STEEL;DOUBLE;DULL;BUTCHER;fuchsia Agent;Executive;auxiliary
2;PETTY_KNIFE;ONE_HUNDERD_SIXTY;CERAMIC;SINGLE;SPOON;WORK_HORSE;recontextualize;intermediate Handcrafted;modular maroon
3;BONING_KNIFE;ONE_HUNDERD_SIXTY;CERAMIC;DOUBLE;STARTING_TO_DULL;BUTCHER;indexing;withdrawal;Handmade projection
4;UTILITY_KNIFE;TWO_HUNDERD_FORTY;NOT_SURE;DOUBLE;STARTING_TO_DULL;WORK_HORSE;demand-driven benchmark;Small hybrid Utah;Kina supply-chains action-items
5;UTILITY_KNIFE;TWO_HUNDRED;CERAMIC;DOUBLE;SHARP;WORK_HORSE;Haiti transmitter vortals;Concrete;Infrastructure
6;PAIRING_KNIFE;TWO_HUNDRED_TWENTY;TOOL_STEEL;SINGLE;VERY_DULL;WORK_HORSE;Sausages azure generating;parsing leverage;invoice
7;UTILITY_KNIFE;ONE_HUNDRED_FORTY;CERAMIC;DOUBLE;DULL;WORK_HORSE;Antillian;visualize;deposit generation Fantastic
8;PAIRING_KNIFE;TWO_HUNDRED_TWENTY;TOOL_STEEL;SINGLE;SPOON;LASER;Dakota Costa;COM Buckinghamshire withdrawal;Hat one-to-one content
9;SLICER;TWO_HUNDERD_EIGHTY;STAINLESS_STEEL;DOUBLE;SPOON;BUTCHER;Account Soft SMS;next-generation index homogeneous;Pakistan withdrawal
10;PAIRING_KNIFE;TWO_HUNDERD_FORTY;ALLOY_STEEL;SINGLE;SHARP;WORK_HORSE;Philippine Colorado Ergonomic;relationships;Supervisor
